Section ID, Section Name
6.4, UE-requested 5GSM procedures
6.4.1, UE-requested PDU session establishment procedure
6.4.1.1, General
6.4.1.2, UE-requested PDU session establishment procedure initiation
6.4.1.3, UE-requested PDU session establishment procedure accepted by the network
6.4.1.4, UE-requested PDU session establishment procedure not accepted by the network
6.4.1.4.1, General
6.4.1.4.2, Handling of network rejection due to congestion control
6.4.1.4.3, Handling of network rejection not due to congestion control
6.4.1.5, Handling the maximum number of established PDU sessions
6.4.1.6, Abnormal cases in the UE
6.4.1.7, Abnormal cases on the network side
6.4.2, UE-requested PDU session modification procedure
6.4.2.1, General
6.4.2.2, UE-requested PDU session modification procedure initiation
6.4.2.3, UE-requested PDU session modification procedure accepted by the network
6.4.2.4, UE-requested PDU session modification procedure not accepted by the network
6.4.2.4.1, General
6.4.2.4.2, Handling of network rejection due to congestion control
6.4.2.4.3, Handling of network rejection not due to congestion control
6.4.2.5, Abnormal cases in the UE
6.4.2.6, Abnormal cases on the network side
6.4.3, UE-requested PDU session release procedure
6.4.3.1, General
6.4.3.2, UE-requested PDU session release procedure initiation
6.4.3.3, UE-requested PDU session release procedure accepted by the network
6.4.3.4, UE-requested PDU session release procedure not accepted by the network
6.4.3.5, Abnormal cases in the UE
6.4.3.6, Abnormal cases on the network side
